"","u.1","u.2","v"
"4236",0.0145011014079484,5.69882782210074,"C"
"2703",1.68781803979385,6.47932349960546,"B"
"3617",-0.135047963273423,5.21103563453035,"B"
"1422",0.0459620687491047,-0.21694406307146,"A"
"4082",1.07547687468369,3.61000666152635,"C"
"734",-0.848396109838639,-0.34018612881796,"A"
"3006",1.2761610019285,6.16457595457152,"B"
"3798",1.72211310299214,6.57150430145621,"B"
"767",-0.491206678076615,-1.47810805800705,"A"
"5974",-0.7482210531171,4.38505934539292,"C"
"2121",-0.478724793331565,5.13818745709111,"B"
"2889",0.161974306338245,5.36707446573164,"B"
"1985",1.01080233110013,-1.25792044670615,"A"
"1145",-1.02750722482053,-0.449207769469922,"A"
"836",-0.813693872170939,-1.11588900841801,"A"
"2480",-1.18426774940579,3.77812451114445,"B"
"952",0.11260413467129,-1.34149447882816,"A"
"3864",-1.45661624256986,3.39049815060299,"B"
"936",-0.938738705969991,0.425556342027629,"A"
"3579",0.774559520058319,5.86059865926309,"B"
"4942",-0.835849761711157,5.40586743913603,"C"
"4312",-0.815496325213536,6.24083903109851,"C"
"1995",0.344743375153181,-0.935872954461157,"A"
"3531",0.61206842421966,6.30332277768844,"B"
"60",1.65747451264935,0.93211404628629,"A"
"1121",-2.00545859155606,0.749421646921256,"A"
"4878",-0.164982038301172,5.05494462884415,"C"
"1755",-0.399889675776721,-0.221898778696154,"A"
"2406",-0.909484102420596,5.01950962797447,"B"
"5861",-0.0959734535100443,4.21226133403155,"C"
"3607",0.912853793036941,6.32217789003759,"B"
"4876",0.819883334942851,4.2038939329237,"C"
"4894",-1.12467867850605,6.28351588149232,"C"
"2491",0.118053288555755,5.23635738749681,"B"
"2299",-0.817615527690612,4.40735492989437,"B"
"167",-0.164287940215985,-0.807839943574447,"A"
"3187",-1.14222667165356,3.90541762817804,"B"
"1957",1.75919929634914,1.81193565190239,"A"
"5438",0.377565550049568,4.22790137917351,"C"
"1850",0.267274466415541,1.9896132205406,"A"
"1419",0.163490943396616,0.295534316181752,"A"
"957",0.305868567768575,-2.1341898665533,"A"
"2202",-2.37331809663108,3.04600131742614,"B"
"2103",0.237970543861929,4.76834203043507,"B"
"5349",1.11007759771709,4.01387929469831,"C"
"4266",0.987062073099733,4.14090918129849,"C"
"162",1.34281435441661,-2.38081342398289,"A"
"5004",-0.374743112964807,4.8471682357391,"C"
"1068",1.04462254201835,-0.817074147529883,"A"
"1431",-1.05464934924498,-1.51376016842723,"A"
"4242",1.21188728451592,4.34620647028976,"C"
"3308",-0.331100556713972,4.15992982612095,"B"
"3126",-1.77132696790623,2.52714005388972,"B"
"434",0.838349430383344,2.64774211519246,"A"
"5790",-0.185825021409627,4.82399367079518,"C"
"3464",-1.50742609472729,3.14681405696632,"B"
"2556",-0.0488550423880134,5.21370325708988,"B"
"1682",0.0227034064372892,0.809780228248009,"A"
"276",-0.945389148893203,0.612763801753121,"A"
"1914",0.992653766854905,-0.349824077794363,"A"
"5774",0.727848584833516,4.89365791188312,"C"
"4326",0.708368786450602,4.38548346407256,"C"
"1377",0.0160584576203156,0.0832753695095668,"A"
"41",-0.64378162642539,-1.78394507959717,"A"
"1549",-1.50898207473066,-0.158132654328454,"A"
"1478",0.492814999339955,1.96946220960056,"A"
"1865",-0.579825187035261,-0.335573228239586,"A"
