city,lat,lng
Mexico City,19.4333,-99.1333
Guadalajara,20.6767,-103.3475
Monterrey,25.6667,-100.3
Tijuana,32.525,-117.0333
Ecatepec,19.6097,-99.06
Puebla,19.0333,-98.1833
Leon de los Aldama,21.1167,-101.6833
Juarez,31.7386,-106.487
Zapopan,20.7167,-103.4
Nezahualcoyotl,19.4,-98.9889
Ciudad Nezahualcoyotl,19.41,-99.03
Mexicali,32.6633,-115.4678
Aguascalientes,21.876,-102.296
Merida,20.97,-89.62
Chihuahua,28.6353,-106.0889
Naucalpan de Juarez,19.4753,-99.2378
San Luis Potosi,22.1511,-100.9761
Toluca,19.2925,-99.6569
Hermosillo,29.0989,-110.9542
Saltillo,25.4333,-101
Queretaro,20.5875,-100.3928
Culiacan,24.8069,-107.3939
Morelia,19.7683,-101.1894
Tlalnepantla,19.5367,-99.1947
Cancun,21.1606,-86.8475
Reynosa,26.0922,-98.2778
Guadalupe,25.6775,-100.2597
Acapulco de Juarez,16.8636,-99.8825
Torreon,25.5394,-103.4486
Durango,24.0167,-104.6667
Villahermosa,17.9892,-92.9281
Chimalhuacan,19.4167,-98.9
Tuxtla,16.7528,-93.1167
Tlaquepaque,20.6167,-103.3167
Veracruz,19.1903,-96.1533
Tlajomulco de Zuniga,20.4736,-103.4431
Xalapa,19.54,-96.9275
Ciudad Apodaca,25.7833,-100.1833
Ensenada,31.8578,-116.6058
Heroica Matamoros,25.8797,-97.5042
Cuautitlan Izcalli,19.65,-99.25
Mazatlan,23.22,-106.42
Mazatan,29.0167,-110.1333
Ixtapaluca,19.3186,-98.8822
Ciudad Lopez Mateos,19.55,-99.2833
Tultitlan de Mariano Escobedo,19.645,-99.1694
San Nicolas de los Garza,25.75,-100.2833
Celaya,20.5222,-100.8122
Ciudad Obregon,27.4939,-109.9389
Irapuato,20.6667,-101.35
Tonala,20.6167,-103.2333
Nuevo Laredo,27.4861,-99.5069
Nicolas Romero,19.5833,-99.3667
Cuernavaca,18.9186,-99.2342
Tecamac,19.7131,-98.9683
Ciudad General Escobedo,25.7933,-100.1583
Minatitlan,17.9833,-94.55
Tepic,21.5083,-104.8931
Gomez Palacio,25.5611,-103.4983
Tapachula,14.9,-92.2667
Coatzacoalcos,18.15,-94.4333
Uruapan,19.4208,-102.0628
Tampico,22.2553,-97.8686
Chalco,19.2647,-98.8975
Ciudad Victoria,23.7333,-99.1333
Oaxaca,17.0833,-96.75
Coacalco,19.6333,-99.0931
Pachuca,20.1,-98.75
Tehuacan,18.4617,-97.3928
Salamanca,20.5703,-101.1972
Ciudad Benito Juarez,25.65,-100.0833
Ciudad Santa Catarina,25.6833,-100.45
Texcoco,19.52,-98.88
Los Mochis,25.7835,-108.9937
Playa del Carmen,20.6275,-87.0811
La Paz,24.1422,-110.3108
San Juan del Rio,20.3833,-99.9833
Monclova,26.9103,-101.4222
Huixquilucan,19.3611,-99.3508
Puerto Vallarta,20.6667,-105.2667
Campeche,19.85,-90.5306
Heroica Nogales,31.3186,-110.9458
Cordoba,18.8942,-96.9347
Ciudad Acuna,29.3242,-100.9317
Soledad de Graciano Sanchez,22.1833,-100.9333
Guadalupe,22.7528,-102.5078
Ciudad Madero,22.25,-97.8333
Buenavista,19.6083,-99.1694
Metepec,19.2511,-99.6047
Poza Rica de Hidalgo,20.5333,-97.45
Cholula de Rivadabia,19.0633,-98.3064
San Luis Rio Colorado,32.4767,-114.7625
San Pablo de las Salinas,19.6656,-99.0917
Chilpancingo,17.55,-99.5
Manzanillo,19.0522,-104.3158
Ciudad Valles,21.9833,-99.0167
Cuautla,18.8167,-98.95
Chicoloapan,19.4167,-98.9
Guanajuato,21.0178,-101.2567
Comitan,16.2511,-92.1342
Ciudad del Carmen,18.6333,-91.8333
Cuauhtemoc,28.405,-106.8667
Lagos de Moreno,21.3564,-101.9292
Piedras Negras,28.7,-100.5231
San Cristobal,16.7367,-92.6383
Navojoa,27.0813,-109.4461
Jiutepec,18.8833,-99.1667
Papantla de Olarte,20.4478,-97.32
Tulancingo,20.0833,-98.3667
Chetumal,18.5036,-88.3053
Dolores Hidalgo Cuna de la Independencia Nacional,21.1516,-100.9369
Delicias,28.1931,-105.4717
Silao,20.9478,-101.4281
Garcia,25.8167,-100.5833
Tuxtepec,18.1,-96.1167
Tuxpam de Rodriguez Cano,20.95,-97.4
Zamora,19.9833,-102.2833
Tepatitlan de Morelos,20.817,-102.733
San Miguel de Allende,20.9142,-100.7436
Zacatecas,22.7736,-102.5736
Boca del Rio,19.1056,-96.1078
Colima,19.2433,-103.7247
Zinacantepec,19.2833,-99.7333
Santa Maria Texmelucan,19.2833,-98.4333
Heroica Guaymas,27.9183,-110.8989
Apatzingan de la Constitucion,19.0886,-102.3508
Ixtlahuaca,19.5689,-99.7669
Ciudad de Atlixco,18.9,-98.45
Ciudad Hidalgo,19.6923,-100.5574
San Pedro Garza Garcia,25.6667,-100.3
Chilapa de Álvarez,17.5944,-99.1778
Miramar,22.3375,-97.8694
Villa de Álvarez,19.25,-103.7333
Orizaba,18.85,-97.1
Temixco,18.85,-99.2333
Huejutla de Reyes,21.1333,-98.4167
Las Delicias,28.2,-105.5
San Francisco del Rincon,21.0228,-101.86
Tecoman,18.9089,-103.8747
Ciudad Mante,22.7333,-98.95
Fresnillo,23.175,-102.8675
