"","city","lat","lng","capital","population","cod_entidad"
"16","Jaltipan de Morelos.VER",17.9703,-94.7144,0,41644,"30"
"11","Tepetlaoxtoc.EMX",19.5731,-98.8203,0,25523,"15"
"29","Hunucma.YUC",21.0153,-89.8744,0,24910,"31"
"1","Cuernavaca.MOR",18.9186,-99.2342,1,366321,"17"
"12","Aldama.TAM",22.9194,-98.0736,0,13661,"28"
"27","Carichi.CHI",27.9167,-107.05,0,1672,"6"
"18","San Joaquin.QUE",20.9833,-99.5,0,8865,"22"
"2","Chihuahua.CHI",28.6353,-106.0889,1,878062,"6"
"17","San Pedro del Gallo.DUR",25.55,-104.3,0,634,"10"
"19","Coatepec Harinas.EMX",18.9,-99.7167,0,31860,"15"
"26","Santiago.NVL",25.4333,-100.1333,0,37886,"19"
"20","San Pedro.COA",25.7589,-102.9844,0,53688,"8"
"9","Ciudad de Huitzuco.GUE",18.3,-99.35,0,16025,"12"
"24","Totolapan.MOR",18.9869,-98.9197,0,10790,"17"
"5","Oaxaca.OAX",17.0833,-96.75,1,300050,"20"
"14","Fronteras.SON",30.8961,-109.5583,0,874,"26"
"28","San Blas.NAY",21.5397,-105.2856,0,37478,"18"
"30","Cihuatlan.JAL",19.25,-104.5667,0,30241,"14"
"21","Cuautla.MOR",18.8167,-98.95,0,175208,"17"
"8","Pachuca.HID",20.1,-98.75,1,277375,"13"
"6","Guanajuato.GUA",21.0178,-101.2567,1,171709,"11"
"13","Calimaya.EMX",19.1608,-99.6172,0,47033,"15"
"23","Ciudad Lopez Mateos.EMX",19.55,-99.2833,0,489937,"15"
"15","Lopez.CHI",27,-105.0333,0,2184,"6"
"3","Chilpancingo.GUE",17.55,-99.5,1,187251,"12"
"4","Merida.YUC",20.97,-89.62,1,892363,"31"
"22","Santa Maria Huazolotitlan.OAX",16.3014,-97.9125,0,11400,"20"
"10","Papalotla.EMX",19.5622,-98.8578,0,3766,"15"
"25","Arivechi.SON",28.9333,-109.1833,0,1280,"26"
"7","Aguascalientes.AGS",21.876,-102.296,1,934424,"1"
